x0,x1,weight
-6.57,177.04,1.0
-10.9,174.01,1.0
-11.92,177.56,1.0
-8.38,175.24,1.0
-9.0,179.53,1.0
-6.75,176.49,1.0
-6.63,179.41,1.0
-7.23,179.21,1.0
-11.71,181.49,1.0
-8.87,178.66,1.0
212.66,144.37,1.0
211.58,140.21,1.0
214.45,144.25,1.0
215.69,145.01,1.0
213.11,140.81,1.0
212.95,148.08,1.0
219.61,141.72,1.0
210.83,141.86,1.0
213.99,140.82,1.0
217.29,147.61,1.0
11.47,-19.38,1.0
13.4,-22.28,1.0
9.42,-23.12,1.0
13.36,-20.31,1.0
11.91,-22.3,1.0
15.62,-18.05,1.0
5.73,-18.14,1.0
13.96,-21.67,1.0
17.73,-22.05,1.0
11.96,-22.75,1.0
-141.48,-40.0,1.0
-141.85,-44.87,1.0
-138.76,-40.63,1.0
-136.91,-38.52,1.0
-138.16,-40.6,1.0
-134.62,-42.2,1.0
-139.08,-43.13,1.0
-139.55,-40.46,1.0
-135.74,-39.14,1.0
-138.02,-42.35,1.0
-31.55,-206.26,1.0
-32.77,-206.32,1.0
-31.39,-206.52,1.0
-32.65,-205.27,1.0
-33.91,-207.98,1.0
-34.26,-205.56,1.0
-31.28,-206.49,1.0
-35.21,-209.29,1.0
-33.93,-204.07,1.0
-36.7,-204.27,1.0
-133.47,-55.83,1.0
-131.82,-55.11,1.0
-132.21,-58.72,1.0
-131.23,-54.97,1.0
-130.73,-54.46,1.0
-132.34,-57.85,1.0
-131.03,-55.13,1.0
-130.17,-50.68,1.0
-128.98,-53.53,1.0
-126.42,-53.77,1.0
-170.62,199.42,1.0
-173.05,201.19,1.0
-171.19,201.95,1.0
-169.01,201.1,1.0
-166.14,199.36,1.0
-167.43,199.43,1.0
-171.06,199.23,1.0
-170.77,200.84,1.0
-172.18,203.21,1.0
-165.32,201.23,1.0
-37.09,144.43,1.0
-38.87,144.9,1.0
-38.72,146.6,1.0
-36.55,149.55,1.0
-36.45,145.9,1.0
-36.61,143.91,1.0
-34.62,145.89,1.0
-35.17,145.7,1.0
-36.64,146.88,1.0
-36.94,143.31,1.0
-125.46,226.93,1.0
-127.06,224.67,1.0
-126.54,224.71,1.0
-126.46,225.01,1.0
-128.19,224.19,1.0
-129.04,228.4,1.0
-126.32,223.4,1.0
-129.23,229.37,1.0
-125.46,227.14,1.0
-126.61,226.16,1.0
123.2,-94.09,1.0
117.73,-94.67,1.0
121.63,-94.7,1.0
121.52,-98.53,1.0
119.39,-96.63,1.0
122.06,-95.73,1.0
122.26,-97.97,1.0
124.35,-91.77,1.0
126.21,-97.26,1.0
122.03,-96.13,1.0
14.71,68.03,1.0
17.84,65.78,1.0
16.93,67.64,1.0
15.63,70.38,1.0
15.61,74.26,1.0
15.56,69.63,1.0
17.36,67.26,1.0
