x0,x1,weight
115.11,-192.65,1.0
116.3,-196.94,1.0
115.94,-193.57,1.0
111.17,-195.68,1.0
115.05,-193.81,1.0
118.67,-190.53,1.0
113.42,-197.53,1.0
113.3,-194.26,1.0
116.86,-194.02,1.0
116.16,-191.55,1.0
202.31,-239.97,1.0
203.52,-234.75,1.0
202.57,-237.0,1.0
205.61,-237.18,1.0
200.71,-236.2,1.0
203.3,-235.52,1.0
201.43,-233.47,1.0
201.72,-237.01,1.0
203.63,-233.95,1.0
202.81,-233.36,1.0
-164.51,171.47,1.0
-167.68,177.75,1.0
-167.08,178.04,1.0
-167.41,177.08,1.0
-165.98,178.97,1.0
-165.91,175.42,1.0
-165.9,176.53,1.0
-161.77,180.43,1.0
-167.8,178.12,1.0
-169.06,178.69,1.0
12.86,138.63,1.0
13.81,138.79,1.0
13.08,137.4,1.0
13.01,136.38,1.0
15.64,141.23,1.0
13.12,141.89,1.0
14.92,135.34,1.0
13.01,136.95,1.0
12.69,136.15,1.0
13.25,137.59,1.0
87.06,168.61,1.0
86.75,172.15,1.0
82.13,172.1,1.0
86.95,171.51,1.0
90.56,169.57,1.0
86.03,168.47,1.0
84.77,173.44,1.0
83.02,167.87,1.0
88.56,170.32,1.0
86.19,171.22,1.0
-157.54,-229.12,1.0
-152.27,-229.14,1.0
-159.66,-228.63,1.0
-156.91,-227.3,1.0
-160.36,-225.11,1.0
-156.17,-228.32,1.0
-157.27,-227.44,1.0
-158.22,-224.77,1.0
-156.1,-229.49,1.0
-158.34,-225.46,1.0
182.96,-13.48,1.0
180.99,-14.41,1.0
182.5,-15.16,1.0
179.19,-15.65,1.0
182.92,-17.79,1.0
181.69,-13.5,1.0
181.92,-15.9,1.0
182.08,-18.23,1.0
178.81,-15.49,1.0
181.7,-15.41,1.0
-124.07,-96.68,1.0
-127.05,-97.71,1.0
-125.48,-96.21,1.0
-126.5,-98.79,1.0
-124.84,-97.86,1.0
-127.13,-94.92,1.0
-124.83,-98.69,1.0
-123.61,-97.62,1.0
-123.2,-97.92,1.0
-129.38,-97.64,1.0
170.37,-141.75,1.0
172.47,-142.31,1.0
172.82,-140.28,1.0
176.15,-138.67,1.0
175.26,-139.37,1.0
170.48,-137.84,1.0
175.77,-138.58,1.0
174.23,-143.0,1.0
171.73,-140.27,1.0
173.4,-141.58,1.0
48.88,-138.96,1.0
39.58,-138.45,1.0
48.6,-137.53,1.0
45.54,-139.86,1.0
48.16,-138.86,1.0
46.94,-135.51,1.0
45.62,-138.11,1.0
45.83,-137.04,1.0
48.05,-138.89,1.0
47.67,-141.64,1.0
46.64,-97.9,1.0
44.93,-99.7,1.0
44.51,-96.71,1.0
43.18,-97.46,1.0
43.45,-96.97,1.0
46.28,-95.59,1.0
42.96,-92.93,1.0
44.77,-102.06,1.0
43.17,-95.25,1.0
45.42,-98.68,1.0
-139.44,195.41,1.0
-140.25,198.68,1.0
-139.15,194.69,1.0
-135.08,192.44,1.0
-136.18,194.74,1.0
-137.57,192.23,1.0
-138.03,194.71,1.0
-138.49,194.99,1.0
-140.09,194.46,1.0
-139.53,193.18,1.0
-167.8,-183.89,1.0
-173.45,-182.22,1.0
-169.4,-181.15,1.0
-170.71,-183.06,1.0
-168.41,-182.4,1.0
-169.98,-181.42,1.0
-170.22,-178.17,1.0
-167.88,-181.46,1.0
-170.9,-184.59,1.0
-171.0,-182.08,1.0
-26.8,86.72,1.0
-25.88,87.17,1.0
-27.61,84.86,1.0
-26.51,84.93,1.0
-31.76,87.87,1.0
-24.77,82.69,1.0
-29.84,84.7,1.0
-26.77,86.27,1.0
-30.52,87.63,1.0
-27.18,89.05,1.0
-83.5,-122.46,1.0
-84.84,-118.63,1.0
-84.65,-118.36,1.0
-87.28,-124.82,1.0
-83.05,-124.09,1.0
-85.7,-122.65,1.0
-87.39,-125.74,1.0
-83.25,-122.59,1.0
-83.96,-123.68,1.0
-84.49,-123.69,1.0
-154.18,-142.68,1.0
-152.55,-141.43,1.0
-154.61,-140.11,1.0
-150.95,-144.34,1.0
-151.28,-140.71,1.0
-153.65,-143.15,1.0
-150.21,-144.67,1.0
-153.69,-140.49,1.0
-152.25,-140.11,1.0
-156.87,-145.77,1.0
-122.5,-80.23,1.0
-123.92,-80.72,1.0
-125.4,-79.87,1.0
-126.57,-81.46,1.0
-126.49,-80.95,1.0
-128.74,-78.81,1.0
-127.09,-82.69,1.0
-124.45,-83.01,1.0
-125.84,-77.75,1.0
-126.08,-79.49,1.0
73.98,44.93,1.0
74.08,47.77,1.0
74.84,46.0,1.0
73.23,47.42,1.0
74.3,45.25,1.0
74.49,49.36,1.0
72.96,50.06,1.0
70.54,50.37,1.0
74.23,49.49,1.0
75.57,49.7,1.0
65.83,133.12,1.0
67.48,129.7,1.0
60.8,131.11,1.0
69.39,133.0,1.0
64.89,130.68,1.0
69.31,129.13,1.0
61.02,130.4,1.0
65.1,133.24,1.0
61.71,129.55,1.0
65.84,128.56,1.0
-152.6,198.73,1.0
-155.86,204.66,1.0
-152.47,201.63,1.0
-155.56,201.0,1.0
-151.27,205.82,1.0
-153.87,206.61,1.0
-154.37,197.68,1.0
-151.43,202.01,1.0
-150.49,202.61,1.0
-154.48,203.87,1.0
-209.4,236.95,1.0
-207.39,231.69,1.0
-208.51,234.38,1.0
-210.13,231.72,1.0
-206.61,235.63,1.0
-209.74,236.13,1.0
-204.52,234.01,1.0
-207.38,235.76,1.0
-207.95,234.34,1.0
-203.55,235.18,1.0
61.96,-109.23,1.0
63.62,-111.91,1.0
60.17,-111.33,1.0
65.05,-110.58,1.0
63.56,-110.13,1.0
63.88,-109.11,1.0
62.21,-110.52,1.0
61.66,-111.09,1.0
62.37,-110.6,1.0
59.04,-109.36,1.0
-179.42,209.2,1.0
-179.41,211.89,1.0
-179.64,212.9,1.0
-183.05,209.26,1.0
-177.61,211.17,1.0
-176.97,207.32,1.0
-181.76,215.1,1.0
-181.28,211.44,1.0
-183.33,212.75,1.0
-180.18,210.72,1.0
4.51,-40.66,1.0
5.68,-41.45,1.0
6.93,-44.6,1.0
0.1,-41.46,1.0
2.96,-43.44,1.0
6.3,-46.03,1.0
3.46,-43.52,1.0
2.45,-43.01,1.0
2.63,-43.28,1.0
5.64,-44.88,1.0
134.19,177.18,1.0
139.32,174.38,1.0
136.2,176.12,1.0
138.5,175.87,1.0
133.61,177.42,1.0
136.32,178.45,1.0
137.85,175.53,1.0
137.71,175.7,1.0
139.07,172.4,1.0
139.79,177.03,1.0
-139.87,60.17,1.0
-131.31,60.25,1.0
-133.31,57.4,1.0
-134.73,58.26,1.0
-137.17,61.55,1.0
-136.48,63.23,1.0
-135.36,62.53,1.0
-134.31,62.73,1.0
-134.85,67.03,1.0
-138.82,60.49,1.0
139.67,-17.2,1.0
137.69,-16.6,1.0
138.58,-20.71,1.0
135.54,-16.63,1.0
142.39,-15.96,1.0
138.13,-18.41,1.0
138.8,-15.23,1.0
137.55,-15.23,1.0
136.68,-14.83,1.0
138.82,-19.21,1.0
-215.49,213.54,1.0
-219.96,215.41,1.0
-216.15,218.19,1.0
-215.94,218.75,1.0
-218.17,217.01,1.0
-212.25,217.63,1.0
-216.31,218.23,1.0
-215.51,217.36,1.0
-217.83,215.63,1.0
-217.32,216.09,1.0
126.89,87.04,1.0
122.84,87.46,1.0
124.92,87.21,1.0
121.71,88.01,1.0
126.26,89.13,1.0
120.62,87.88,1.0
124.18,86.72,1.0
128.27,87.44,1.0
122.34,90.16,1.0
121.44,84.07,1.0
-40.92,-32.83,1.0
-47.55,-32.91,1.0
-43.72,-32.87,1.0
-41.37,-34.88,1.0
-44.32,-30.66,1.0
-45.0,-33.1,1.0
-46.32,-29.61,1.0
-46.03,-39.12,1.0
-47.81,-32.34,1.0
-44.89,-33.2,1.0
-73.19,-223.3,1.0
-74.56,-222.76,1.0
-78.22,-223.63,1.0
-76.22,-221.79,1.0
-74.9,-221.55,1.0
-77.72,-224.04,1.0
-75.58,-223.41,1.0
-72.8,-221.4,1.0
-77.19,-227.04,1.0
-75.89,-224.48,1.0
-65.06,125.62,1.0
-64.96,126.77,1.0
-67.75,128.28,1.0
-66.52,127.74,1.0
-66.6,124.69,1.0
-66.87,128.34,1.0
-65.48,129.69,1.0
-62.26,126.16,1.0
-67.44,130.7,1.0
-64.81,126.06,1.0
56.03,165.63,1.0
57.51,160.29,1.0
56.18,154.13,1.0
54.75,163.0,1.0
53.97,162.15,1.0
57.49,164.21,1.0
55.91,160.96,1.0
53.75,166.33,1.0
54.92,159.95,1.0
54.31,163.04,1.0
-38.2,236.35,1.0
-35.38,234.31,1.0
-37.27,235.89,1.0
-38.99,233.14,1.0
-35.38,235.5,1.0
-33.71,232.57,1.0
-37.92,235.49,1.0
-34.26,236.07,1.0
-38.47,232.98,1.0
-36.75,234.19,1.0
-81.78,-44.67,1.0
-78.9,-47.48,1.0
-79.85,-47.65,1.0
-80.63,-49.58,1.0
-78.0,-44.5,1.0
-78.86,-45.4,1.0
-79.15,-46.81,1.0
-78.06,-49.67,1.0
-78.47,-47.12,1.0
-79.77,-50.75,1.0
6.7,-212.48,1.0
6.73,-208.78,1.0
8.3,-208.37,1.0
7.7,-206.92,1.0
8.81,-212.37,1.0
5.64,-209.07,1.0
6.84,-208.75,1.0
4.74,-211.3,1.0
7.2,-209.76,1.0
6.57,-210.59,1.0
188.04,118.09,1.0
190.14,120.47,1.0
193.62,118.57,1.0
190.1,115.48,1.0
188.89,114.98,1.0
191.98,123.68,1.0
189.68,123.01,1.0
190.13,119.77,1.0
188.94,121.92,1.0
196.43,117.56,1.0
-0.95,122.46,1.0
-0.79,126.0,1.0
-1.82,122.14,1.0
-3.14,122.95,1.0
-2.4,123.4,1.0
-0.12,125.39,1.0
-1.69,126.16,1.0
-3.71,126.54,1.0
-1.73,127.02,1.0
-1.3,124.35,1.0
-126.15,185.36,1.0
-129.17,191.42,1.0
-127.58,186.09,1.0
-129.46,187.92,1.0
-127.62,185.15,1.0
-127.61,187.73,1.0
-126.74,188.25,1.0
-131.02,188.92,1.0
-130.29,186.74,1.0
-127.93,189.14,1.0
-222.21,-138.16,1.0
-222.38,-133.96,1.0
-220.76,-137.75,1.0
-222.31,-138.45,1.0
-217.77,-138.97,1.0
-222.12,-135.57,1.0
-223.33,-142.7,1.0
-218.99,-137.26,1.0
-218.71,-137.12,1.0
-221.73,-138.03,1.0
13.32,-90.11,1.0
9.24,-91.36,1.0
10.98,-94.62,1.0
11.62,-95.38,1.0
9.68,-93.77,1.0
9.55,-91.64,1.0
7.53,-89.72,1.0
7.3,-91.91,1.0
8.23,-93.53,1.0
7.89,-89.45,1.0
-233.94,193.57,1.0
-231.12,196.32,1.0
-229.56,194.61,1.0
-228.33,195.72,1.0
-232.05,194.15,1.0
-231.33,193.0,1.0
-226.75,195.56,1.0
-229.92,191.43,1.0
-230.46,199.45,1.0
-231.76,198.4,1.0
80.38,-186.82,1.0
75.11,-187.05,1.0
78.07,-188.15,1.0
77.87,-184.85,1.0
80.42,-188.97,1.0
81.48,-190.66,1.0
80.73,-189.47,1.0
77.62,-188.36,1.0
78.12,-184.95,1.0
78.99,-186.0,1.0
-75.83,-5.58,1.0
-76.68,-5.86,1.0
-76.03,-1.4,1.0
-75.65,-2.86,1.0
-74.43,-4.18,1.0
-74.74,0.27,1.0
-77.92,-1.74,1.0
-77.22,-3.92,1.0
-75.59,-4.34,1.0
-77.93,-3.7,1.0
60.98,-180.11,1.0
61.93,-177.58,1.0
61.66,-178.45,1.0
61.6,-179.07,1.0
59.66,-184.15,1.0
57.47,-180.87,1.0
61.66,-180.43,1.0
58.4,-177.29,1.0
59.05,-178.44,1.0
58.19,-182.78,1.0
-157.73,187.55,1.0
-154.16,190.32,1.0
-154.38,184.38,1.0
-154.24,186.49,1.0
-154.76,187.06,1.0
-154.58,187.53,1.0
-159.7,182.94,1.0
-154.26,188.51,1.0
-159.88,181.05,1.0
-153.61,186.98,1.0
114.26,40.34,1.0
110.12,40.17,1.0
111.1,37.25,1.0
111.06,41.22,1.0
107.95,42.05,1.0
112.37,39.49,1.0
111.94,39.9,1.0
112.17,43.29,1.0
113.25,41.57,1.0
108.55,42.68,1.0
-52.15,0.59,1.0
-48.91,-0.58,1.0
-45.7,-0.13,1.0
-49.18,1.47,1.0
-50.85,0.72,1.0
-50.8,-1.15,1.0
-52.15,-0.18,1.0
-49.27,-2.32,1.0
-52.76,1.8,1.0
